Events,Identified Goal,True Positives,True Negatives,False Positives,False Negatives,
Periodic recording,Periodic checking,1,,,,
BP measured,,,,,1,
Data processing,Periodic checking,1,,,,
Local Authentication,Locally,1,,,,
Data processed,,,,,1,
System authenticated,Locally,1,,,,
Patient ID retreived,Retrieve patient history,1,,,,
Patient history fetched,Retrieve patient history,1,,,,
Patient history analysis,Retrieve patient history,,,1,,
Analysis Results compressed,Locally,,,,1,
Data stored,,,,,1,
Abnormality status,Call doctor,1,,,,
Doctor log-in,,,,,1,
ID Verification,,1,,,,
Patient ID,Retrieve patient history,1,,,,
Patient History,Retrieve patient history,1,,,,
Patient Reports,Retrieve patient history,,,1,,
Medicine Prescription upload,Send Medication,,,1,,
Doctor Log-out,,,,,1,
Prescription given to caregiver,Call alert,,,1,,
Caregiver visits store,Purchase medicine-offline,1,,,,
Prescription verified,Check prescription,1,,,,
Medicine packed,Give medicine,1,,,,
Payment,Pay,1,,,,
Medicine Given,Call doctor,,,1,,
Pharmacy notified for order,Alert Pharmacy,1,,,,
Enquire medicine availability,Give medicine,,,1,,
Availability response,Locally,,,1,,
Prescription sent,Call doctor,,,1,,
Medicine delivery,Call doctor,,,1,,
Medicine out for delivery,Call doctor,,,1,,
Health status,Voice alert,1,,,,
Caregiver number dialed,Call alert,1,,,,
Call received,Call ambulance,,,1,,
Account verification,Record history,1,,,,
Test booking,Upload Report,,,1,,
Test Options,Self booking,1,,,,
Prescription Upload,Upload Prescription,1,,,,
Test booking Confirmation,Self booking,1,,,,
Sign out,Register patient,1,,,,
Sign-in request,Register patient,,,1,,
Technician assigned,Home collection,1,,,,
Technician Visited,Home collection,1,,,,
Sample Collected,Locally,,,1,,
Sample submitted,Home collection,1,,,,
Patient email ID entered,Upload Report,1,,,,
Test report upload,Upload Report,1,,,,
Sent notification,Call ambulance,,,1,,
Temperature measured,,,,,1,
Analysis Results compressed,Locally,1,,,,
Abnormality status,Call doctor,1,,,,
Patient location,Retrieve patient history,,,1,,
Ambulance Dialed,Call ambulance,1,,,,
Call to ambulance,Call ambulance,1,,,,
Ambulance service,Call ambulance,1,,,,
Ambulance reached,Call ambulance,1,,,,
Patient Admitted,Retrieve patient history,1,,,,
Medicine Order,Call doctor,,,1,,
Medicine added to cart,Give medicine,,,1,,
Prescription Upload,Upload Prescription,1,,,,
Enquire medicine availability,Give medicine,,,1,,
Patient notified by voice alert,Voice alert,1,,,,
Medicine Taken,Call doctor,,,1,,
Alarm raised,Raise Alarm,1,,,,
Patient visied lab,Call ambulance,,,1,,
Caregiver notified for booking tests,,,,,1,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,37,0,21,1,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,Precision,Recall,Accuracy,F1-Score
,,,1,0.973684211,0.627118644,0.770833333
